feature,importance_mean,importance_std
hog_std_132,0.001080958845868691,0.0
hog_std_60,0.0010690428424943936,0.0
hog_std_118,0.0010683081055226985,0.0
hog_std_77,0.0010671597894944221,0.0
hog_std_40,0.0010635990703402915,0.0
hog_std_85,0.0010625430206996898,0.0
hog_std_39,0.0010537857333907052,0.0
hog_std_114,0.0010509214930673229,0.0
hog_std_130,0.0010490116937640192,0.0
hog_mean_121,0.0010352986658854965,0.0
hog_std_59,0.0010331154984364894,0.0
hog_std_11,0.0010316643039995806,0.0
motion_to_frames,0.001023959468888253,0.0
motion_to_duration,0.0010067748878275218,0.0
hog_mean_63,0.0009933753914083368,0.0
hog_mean_54,0.0009928121598894155,0.0
hog_mean_84,0.000985901035387451,0.0
hog_mean_71,0.000978122903686646,0.0
hog_std_1,0.0009750724512402769,0.0
hog_std_68,0.0009660499811430155,0.0
hog_std_0,0.0009619318115802957,0.0
hog_std_61,0.0009560132881094939,0.0
hog_std_37,0.0009521218364420368,0.0
hog_mean_111,0.0009507977187373393,0.0
frame_count,0.0009476584994991928,0.0
motion_p10,0.000943601926475493,0.0
sampled_frames,0.0009422581342782017,0.0
hog_std_81,0.0009368360572171641,0.0
motion_end,0.0009341307309881692,0.0
hog_mean_59,0.0009324216549469719,0.0
motion_p25,0.0009251884164054928,0.0
hog_std_25,0.0009230945732271807,0.0
hog_std_55,0.0009189410195836873,0.0
hog_std_76,0.0009128415468028172,0.0
hog_std_70,0.0009115668503756337,0.0
hog_std_9,0.000911542190409572,0.0
hog_std_64,0.0009077439914486441,0.0
hog_mean_115,0.000906625310136761,0.0
hog_std_42,0.0009040748501533377,0.0
hog_mean_123,0.0008998206837930174,0.0
hog_mean_82,0.0008996739101503644,0.0
hog_std_43,0.000896707765770525,0.0
hog_std_66,0.0008958315581104488,0.0
hog_mean_69,0.0008920825596094424,0.0
hog_std_20,0.0008900003061956561,0.0
hog_mean_70,0.0008794763609438525,0.0
motion_std,0.0008713655806527911,0.0
hog_std_89,0.000864097216517533,0.0
hog_mean_62,0.0008504258347356792,0.0
sampled_motion_steps,0.0008474043248018241,0.0
hog_std_112,0.0008347627648563592,0.0
hog_std_58,0.0008323805021315525,0.0
hog_mean_32,0.0008236998987821532,0.0
hog_std_87,0.000822204073705335,0.0
duration_sec,0.0008144910548687494,0.0
