feature,importance_mean,importance_std
hog_std_132,0.047952584015119426,0.0
hog_mean_91,0.04793528410099263,0.0
gray_std_mean,0.04786960194546959,0.0
hog_std_35,0.047787638119890105,0.0
hog_mean_92,0.04774269227844983,0.0
hog_mean_123,0.04762064288294018,0.0
sampled_frames,0.04759161786338607,0.0
hog_std_89,0.047548368333341015,0.0
hog_std_62,0.04744680412943155,0.0
hog_std_73,0.04740883001974958,0.0
hog_std_81,0.047332731485363835,0.0
hog_mean_105,0.04730484144182073,0.0
hog_std_27,0.04728461932226054,0.0
hog_mean_103,0.047218275370391576,0.0
sampled_motion_steps,0.0471159137192396,0.0
hog_mean_28,0.04703613253352034,0.0
hog_std_113,0.04699311457796398,0.0
gray_std_p25,0.04696107115343467,0.0
hog_std_24,0.04682363384251053,0.0
hog_std_91,0.04675739250998553,0.0
hog_std_54,0.04665784801087924,0.0
hog_mean_73,0.04645882327580798,0.0
motion_p10,0.046256446563114284,0.0
hog_std_93,0.04625519298881958,0.0
hog_mean_93,0.0461264188988339,0.0
motion_p25,0.04611794697245159,0.0
hog_std_92,0.04598935958778782,0.0
hog_std_33,0.04598847823607706,0.0
motion_to_duration,0.045987057783297196,0.0
hog_mean_18,0.04583936916573907,0.0
hog_std_79,0.04580608212317062,0.0
motion_end,0.04560761765367696,0.0
hog_std_41,0.04552527189167275,0.0
hog_std_15,0.04551051468711997,0.0
intensity_to_motion,0.045503804186858184,0.0
hog_mean_1,0.04548812458508288,0.0
hog_std_17,0.04548426446417791,0.0
hog_std_11,0.04540144228123532,0.0
gray_mean_std,0.04537687326616771,0.0
hog_std_16,0.045341276560285165,0.0
hog_mean_69,0.04531127147611639,0.0
motion_p75,0.04511225895187361,0.0
hog_std_76,0.045033754945970686,0.0
hog_std_71,0.04478823835066488,0.0
hog_std_37,0.04469126973749216,0.0
hog_mean_112,0.04462459030381072,0.0
hog_std_63,0.044149270166250254,0.0
hog_std_7,0.0441051883259388,0.0
hog_mean_15,0.0438699520961632,0.0
hog_std_106,0.04380188545767176,0.0
hog_std_38,0.04377394721332267,0.0
hog_std_18,0.04362566132387534,0.0
hog_std_131,0.04350220254410159,0.0
hog_mean_143,0.04343687858287499,0.0
hog_std_21,0.04339981643223848,0.0
motion_mean,0.04327419868882821,0.0
hog_std_9,0.0429835235042351,0.0
hog_std_43,0.042669945825444706,0.0
hog_mean_35,0.042645200012055955,0.0
hog_mean_137,0.042563448528178165,0.0
hog_std_1,0.04235576822799074,0.0
hog_mean_51,0.042277693574975704,0.0
hog_mean_81,0.042036677137929634,0.0
hog_mean_89,0.04195938602718381,0.0
hog_std_137,0.04189001481516892,0.0
hog_mean_127,0.04185326256568744,0.0
hog_mean_27,0.04163176964357186,0.0
hog_mean_88,0.04158176783082676,0.0
hog_mean_87,0.04107161330902279,0.0
hog_mean_26,0.04100758332410602,0.0
hog_std_40,0.04090584212533352,0.0
hog_std_26,0.04090330982910646,0.0
hog_std_50,0.04050236357399241,0.0
gray_end,0.04031658052682074,0.0
hog_mean_12,0.04025335615321279,0.0
motion_std,0.04010604683293153,0.0
hog_mean_108,0.04010501261196671,0.0
motion_slope,0.03999265507140341,0.0
hog_mean_116,0.0398209396003312,0.0
hog_mean_117,0.039682567407775496,0.0
hog_std_87,0.03965107509796219,0.0
hog_std_51,0.039550670532698555,0.0
hog_mean_61,0.039334361562866155,0.0
gray_start,0.03916560412004805,0.0
hog_std_99,0.03911430334675971,0.0
